epsilon2	better_prob	prob_branch	mean_resolved	mean_closed_nn	mean_closed_nnHybrid	mean_closed_1Tree	mean_closed_subgradient	mean_total_time	mean_time_bb	mean_time_to_best	mean_bbnodes_before_best	mean_fixed_edges	mean_total_tree_level	mean_generate_bbnodes	mean_explored_bbnodes	mean_best_level	mean_prob_best	mean_best_value	mean_mandatory_edges	mean_forbidden_edges
0.5	0.3	0.6	100.0	0.0	89.0	0.0	11.0	0.13808985710144042	0.12669797999999996	0.057759450000000004	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.3	0.7	100.0	0.0	89.0	0.0	11.0	0.16449059247970582	0.15157547999999996	0.06989287999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.3	0.8	100.0	0.0	89.0	0.0	11.0	0.20443891525268554	0.18311681999999999	0.07309215999999999	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.3	0.9	100.0	0.0	89.0	0.0	11.0	0.15552229404449464	0.14365242	0.06824308999999999	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.4	0.5	100.0	0.0	89.0	0.0	11.0	0.15918783903121947	0.14683535000000003	0.06837750000000001	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.4	0.6	100.0	0.0	89.0	0.0	11.0	0.16999847173690796	0.15694352999999994	0.06922963999999998	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.4	0.7	100.0	0.0	89.0	0.0	11.0	0.15318483114242554	0.14130345000000002	0.06461339	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.4	0.8	100.0	0.0	89.0	0.0	11.0	0.15338726043701173	0.1409254	0.0650166	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.4	0.9	100.0	0.0	89.0	0.0	11.0	0.15424587965011596	0.14259180999999999	0.06760503	13.11	1973.75	3.0	34.54	25.61	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.5	0.5	100.0	0.0	89.0	0.0	11.0	0.1544543743133545	0.14237340999999998	0.06804375	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
0.5	0.5	0.6	100.0	0.0	89.0	0.0	11.0	0.1515009045600891	0.13971978999999995	0.06398735	13.12	1974.06	3.0	34.58	25.65	0.71	0.99012706	5.679856910000002	1.21	100.1
